datetime,no2,nh3,co,t,rh,p,deviceid,no2ppb,latitude,longitude,elevation,id,pm1,pm25,pm10
2025-08-09 00:56:26,1854.3709090909092,917.8763636363637,1379.6072727272726,23.256186766462633,100.0,961.1621816269591,10.0,8.044883728027344,,,,,15.0,24.0,24.0
2025-08-09 00:56:29,1856.2327272727275,916.0145454545454,1375.8836363636365,23.27678376311087,100.0,961.1938692157264,10.0,8.05955696105957,,,,,15.0,24.0,24.0
2025-08-09 00:56:32,1854.3709090909092,914.1527272727274,1374.0218181818182,23.400365840789163,100.0,961.2196718341686,10.0,8.053260803222656,,,,,15.0,24.0,24.0
2025-08-09 00:56:35,1854.3709090909092,912.2909090909092,1374.0218181818182,23.42611212807242,100.0,961.1223302123891,10.0,8.058601379394531,,,,,15.0,24.0,24.0
2025-08-09 00:56:38,1854.3709090909092,912.2909090909092,1375.8836363636365,23.48275398570695,100.0,961.1820617249109,10.0,8.057149887084961,,,,,16.0,22.0,22.0
2025-08-09 00:56:41,1850.647272727273,908.5672727272728,1374.0218181818182,23.580590004567057,100.0,961.1407770078049,10.0,8.04843521118164,,,,,16.0,23.0,23.0
2025-08-09 00:56:44,1850.647272727273,908.5672727272728,1374.0218181818182,23.729918867495144,100.0,961.2334285602069,10.0,8.044563293457031,,,,,16.0,22.0,22.0
2025-08-09 00:56:47,1848.7854545454547,908.5672727272728,1375.8836363636365,23.771113079652423,100.0,961.1323527713678,10.0,8.034293174743652,,,,,16.0,22.0,22.0
2025-08-09 00:56:50,1848.7854545454547,906.7054545454546,1375.8836363636365,23.84320299574756,100.0,961.2157934096825,10.0,8.038515090942383,,,,,15.0,19.0,19.0
2025-08-09 00:56:53,1846.9236363636364,908.5672727272728,1372.16,23.760814524866873,100.0,961.1713254909265,10.0,8.025459289550781,,,,,13.0,17.0,17.0
2025-08-09 00:56:56,1846.9236363636364,912.2909090909092,1374.0218181818182,23.678426128491992,100.0,961.1816430896091,10.0,8.015487670898438,,,,,14.0,19.0,19.0
2025-08-09 00:56:59,1846.9236363636364,912.2909090909092,1372.16,23.714471042738296,100.0,961.1548686988459,10.0,8.014530181884766,,,,,14.0,19.0,19.0
2025-08-09 00:57:02,1846.9236363636364,914.1527272727274,1372.16,23.673276856192388,100.0,961.1737244155443,10.0,8.009550094604492,,,,,14.0,18.0,19.0
2025-08-09 00:57:05,1846.9236363636364,914.1527272727274,1375.8836363636365,23.61148561129812,100.0,961.2156896985866,10.0,8.01119327545166,,,,,14.0,18.0,19.0
2025-08-09 00:57:08,1848.7854545454547,916.0145454545454,1375.8836363636365,23.55999293923378,100.0,961.163891275889,10.0,8.015580177307129,,,,,14.0,16.0,17.0
2025-08-09 00:57:11,1846.9236363636364,912.2909090909092,1374.0218181818182,23.63723195824423,100.0,961.1730915707944,10.0,8.01656436920166,,,,,14.0,17.0,18.0
2025-08-09 00:57:14,1845.0618181818181,908.5672727272728,1370.298181818182,23.771113079652423,100.0,961.1323527713678,10.0,8.016036987304688,,,,,14.0,17.0,18.0
2025-08-09 00:57:17,1845.0618181818181,908.5672727272728,1374.0218181818182,23.88439725912758,100.0,961.1420894246638,10.0,8.01306438446045,,,,,14.0,18.0,18.0
2025-08-09 00:57:20,1843.2000000000003,908.5672727272728,1370.298181818182,23.853501559846336,100.0,961.1768130030415,10.0,8.0047607421875,,,,,15.0,18.0,19.0
2025-08-09 00:57:23,1845.0618181818181,910.429090909091,1375.8836363636365,23.915292968886206,100.0,961.16217975964,10.0,8.006194114685059,,,,,15.0,18.0,19.0
2025-08-09 01:21:42,1869.2654545454548,932.7709090909091,1394.5018181818182,22.864844714902574,100.0,961.0801337078674,10.0,8.091590881347656,,,,,12.0,18.0,19.0
2025-08-09 01:21:45,1871.1272727272728,930.909090909091,1390.778181818182,22.833949361374835,100.0,961.0873169636449,10.0,8.10846996307373,,,,,12.0,17.0,18.0
2025-08-09 01:21:48,1871.1272727272728,936.4945454545455,1394.5018181818182,22.823650912527228,100.0,961.0714679340113,10.0,8.092252731323242,,,,,12.0,17.0,18.0
2025-08-09 01:21:51,1871.1272727272728,934.6327272727274,1390.778181818182,22.808203241438605,100.0,961.1571467541862,10.0,8.098397254943848,,,,,12.0,17.0,17.0
2025-08-09 01:21:54,1871.1272727272728,934.6327272727274,1392.64,22.772158685751492,100.0,961.1563931800712,10.0,8.099641799926758,,,,,12.0,16.0,16.0
2025-08-09 01:21:57,1871.1272727272728,936.4945454545455,1392.64,22.75156180319027,100.0,961.1246910058148,10.0,8.094791412353516,,,,,11.0,15.0,15.0
2025-08-09 01:22:00,1869.2654545454548,934.6327272727274,1392.64,22.777307907119393,100.0,961.1369570332931,10.0,8.089140892028809,,,,,12.0,16.0,16.0
2025-08-09 01:22:03,1871.1272727272728,932.7709090909091,1392.64,22.849397036829032,100.0,961.1384555202645,10.0,8.102476119995117,,,,,13.0,17.0,17.0
2025-08-09 01:22:06,1867.4036363636365,932.7709090909091,1388.9163636363637,22.957530838350067,100.0,961.1680350639738,10.0,8.078213691711426,,,,,14.0,18.0,18.0
2025-08-09 01:22:09,1869.2654545454548,930.909090909091,1388.9163636363637,23.024470875039697,100.0,961.1615627401748,10.0,8.091721534729004,,,,,15.0,18.0,18.0
2025-08-09 01:22:12,1867.4036363636365,929.0472727272728,1390.778181818182,23.142903368134284,100.0,961.0700390204959,10.0,8.08277416229248,,,,,15.0,18.0,18.0
2025-08-09 01:22:15,1869.2654545454548,930.909090909091,1392.64,23.266485264204675,100.0,961.1232599533038,10.0,8.083368301391602,,,,,14.0,18.0,20.0
2025-08-09 01:22:18,1869.2654545454548,930.909090909091,1390.778181818182,23.307679266814375,100.0,961.159247823836,10.0,8.081995010375977,,,,,14.0,18.0,19.0
2025-08-09 01:22:21,1867.4036363636365,927.1854545454546,1390.778181818182,23.359171796269948,100.0,961.1289164456747,10.0,8.080936431884766,,,,,15.0,18.0,20.0
2025-08-09 01:22:24,1867.4036363636365,927.1854545454546,1387.0545454545454,23.374619560781866,100.0,961.1252915148441,10.0,8.080400466918945,,,,,15.0,18.0,20.0
2025-08-09 01:22:27,1865.5418181818181,929.0472727272728,1390.778181818182,23.364321050816216,100.0,961.0546766312962,10.0,8.064864158630371,,,,,15.0,18.0,20.0
2025-08-09 01:22:30,1863.68,927.1854545454546,1388.9163636363637,23.359171796269948,100.0,961.1289164456747,10.0,8.060344696044922,,,,,15.0,18.0,20.0
2025-08-09 01:22:33,1867.4036363636365,934.6327272727274,1392.64,23.307679266814375,100.0,961.159247823836,10.0,8.0606689453125,,,,,14.0,18.0,19.0
2025-08-09 01:22:36,1865.5418181818181,934.6327272727274,1392.64,23.240739022032358,100.0,961.1931794298243,10.0,8.05270767211914,,,,,13.0,16.0,18.0
2025-08-09 01:22:39,1865.5418181818181,929.0472727272728,1390.778181818182,23.2304405272007,100.0,961.1225727020261,10.0,8.069533348083496,,,,,14.0,17.0,17.0
2025-08-09 01:25:42,1843.2000000000003,910.429090909091,1385.1927272727276,23.678426128491992,100.0,961.0720417189103,10.0,8.003243446350098,,,,,14.0,17.0,17.0
2025-08-09 01:25:45,1841.338181818182,908.5672727272728,1379.6072727272726,23.688724673964316,100.0,961.1974805119655,10.0,7.999975204467773,,,,,14.0,18.0,19.0
2025-08-09 01:25:48,1841.338181818182,912.2909090909092,1377.7454545454548,23.62178414920345,100.0,961.149334860974,10.0,7.989567279815674,,,,,14.0,18.0,19.0
2025-08-09 01:25:51,1843.2000000000003,914.1527272727274,1383.3309090909092,23.534246614115546,100.0,961.1242942223132,10.0,7.994919776916504,,,,,15.0,18.0,20.0
2025-08-09 01:25:54,1843.2000000000003,914.1527272727274,1381.469090909091,23.498201771173626,100.0,961.0962519799125,10.0,7.995843887329102,,,,,15.0,18.0,20.0
2025-08-09 01:25:57,1845.0618181818181,912.2909090909092,1379.6072727272726,23.431261386402184,100.0,961.1028606623642,10.0,8.012809753417969,,,,,16.0,19.0,20.0
