DateTime,pm10_standard,pm25_standard,pm100_standard,pm10_env,pm25_env,pm100_env,particles_03um,particles_05um,particles_10um,particles_25um,particles_50um,particles_100um,skip,checksum
2025-10-18 04:35:25.885640,16.00000,31.00000,38.00000,16.00000,30.00000,38.00000,3294.00000,904.00000,238.00000,36.00000,6.00000,4.00000,38656.00000,1148.00000
2025-10-18 04:35:26.856227,16.00000,31.00000,38.00000,16.00000,30.00000,38.00000,3294.00000,904.00000,238.00000,36.00000,6.00000,4.00000,38656.00000,1148.00000
2025-10-18 04:35:27.699501,16.00000,31.00000,38.00000,16.00000,30.00000,38.00000,3294.00000,904.00000,238.00000,36.00000,6.00000,4.00000,38656.00000,1148.00000
2025-10-18 04:35:28.551914,15.00000,31.00000,36.00000,15.00000,30.00000,36.00000,3162.00000,880.00000,228.00000,34.00000,4.00000,2.00000,38656.00000,970.00000
2025-10-18 04:35:29.372913,15.00000,31.00000,36.00000,15.00000,30.00000,36.00000,3162.00000,880.00000,228.00000,34.00000,4.00000,2.00000,38656.00000,970.00000
2025-10-18 04:35:30.239735,15.00000,31.00000,36.00000,15.00000,30.00000,36.00000,3162.00000,880.00000,228.00000,34.00000,4.00000,2.00000,38656.00000,970.00000
2025-10-18 04:35:31.031134,15.00000,31.00000,36.00000,15.00000,30.00000,36.00000,3072.00000,864.00000,234.00000,34.00000,4.00000,2.00000,38656.00000,870.00000
2025-10-18 04:35:32.051482,15.00000,31.00000,36.00000,15.00000,30.00000,36.00000,3072.00000,864.00000,234.00000,34.00000,4.00000,2.00000,38656.00000,870.00000
2025-10-18 04:35:32.787644,15.00000,31.00000,36.00000,15.00000,30.00000,36.00000,3072.00000,864.00000,234.00000,34.00000,4.00000,2.00000,38656.00000,870.00000
2025-10-18 04:35:33.680312,15.00000,30.00000,35.00000,15.00000,29.00000,35.00000,3078.00000,862.00000,234.00000,30.00000,4.00000,2.00000,38656.00000,866.00000
2025-10-18 04:35:34.611404,15.00000,30.00000,35.00000,15.00000,29.00000,35.00000,3078.00000,862.00000,234.00000,30.00000,4.00000,2.00000,38656.00000,866.00000
2025-10-18 04:35:35.433382,15.00000,30.00000,35.00000,15.00000,29.00000,35.00000,3078.00000,862.00000,234.00000,30.00000,4.00000,2.00000,38656.00000,866.00000
2025-10-18 04:35:36.265462,14.00000,29.00000,33.00000,14.00000,29.00000,33.00000,2940.00000,830.00000,216.00000,28.00000,4.00000,2.00000,38656.00000,924.00000
2025-10-18 04:35:37.142573,14.00000,29.00000,33.00000,14.00000,29.00000,33.00000,2940.00000,830.00000,216.00000,28.00000,4.00000,2.00000,38656.00000,924.00000
2025-10-18 04:35:37.960501,15.00000,30.00000,34.00000,15.00000,30.00000,34.00000,2940.00000,830.00000,216.00000,28.00000,4.00000,2.00000,38656.00000,930.00000
2025-10-18 04:35:38.844444,15.00000,28.00000,32.00000,15.00000,28.00000,32.00000,2796.00000,796.00000,206.00000,24.00000,4.00000,2.00000,38656.00000,985.00000
2025-10-18 04:35:39.782145,15.00000,28.00000,32.00000,15.00000,28.00000,32.00000,2796.00000,796.00000,206.00000,24.00000,4.00000,2.00000,38656.00000,985.00000
2025-10-18 04:35:40.687577,14.00000,27.00000,31.00000,14.00000,27.00000,31.00000,2796.00000,796.00000,206.00000,24.00000,4.00000,2.00000,38656.00000,979.00000
2025-10-18 04:35:41.515591,14.00000,27.00000,32.00000,14.00000,27.00000,32.00000,2784.00000,806.00000,194.00000,26.00000,6.00000,4.00000,38656.00000,973.00000
2025-10-18 04:35:42.379956,14.00000,27.00000,32.00000,14.00000,27.00000,32.00000,2784.00000,806.00000,194.00000,26.00000,6.00000,4.00000,38656.00000,973.00000
2025-10-18 04:35:43.242209,14.00000,27.00000,32.00000,14.00000,27.00000,32.00000,2784.00000,806.00000,194.00000,26.00000,6.00000,4.00000,38656.00000,973.00000
2025-10-18 04:35:43.996623,15.00000,28.00000,32.00000,15.00000,28.00000,32.00000,2802.00000,818.00000,188.00000,22.00000,6.00000,4.00000,38656.00000,997.00000
2025-10-18 04:35:44.971902,15.00000,28.00000,32.00000,15.00000,28.00000,32.00000,2802.00000,818.00000,188.00000,22.00000,6.00000,4.00000,38656.00000,997.00000
2025-10-18 04:35:45.745248,15.00000,28.00000,32.00000,15.00000,28.00000,32.00000,2802.00000,818.00000,188.00000,22.00000,6.00000,4.00000,38656.00000,997.00000
2025-10-18 04:35:46.616873,14.00000,26.00000,30.00000,14.00000,26.00000,30.00000,2850.00000,818.00000,184.00000,20.00000,6.00000,4.00000,38656.00000,774.00000
2025-10-18 04:35:47.608272,14.00000,26.00000,30.00000,14.00000,26.00000,30.00000,2850.00000,818.00000,184.00000,20.00000,6.00000,4.00000,38656.00000,774.00000
2025-10-18 04:35:48.344340,14.00000,26.00000,30.00000,14.00000,26.00000,30.00000,2850.00000,818.00000,184.00000,20.00000,6.00000,4.00000,38656.00000,774.00000
2025-10-18 04:35:49.163159,14.00000,24.00000,28.00000,14.00000,24.00000,28.00000,2796.00000,802.00000,170.00000,16.00000,4.00000,4.00000,38656.00000,931.00000
2025-10-18 04:35:50.116622,14.00000,24.00000,28.00000,14.00000,24.00000,28.00000,2796.00000,802.00000,170.00000,16.00000,4.00000,4.00000,38656.00000,931.00000
2025-10-18 04:35:50.935979,14.00000,24.00000,28.00000,14.00000,24.00000,28.00000,2796.00000,802.00000,170.00000,16.00000,4.00000,4.00000,38656.00000,931.00000
2025-10-18 04:35:51.758419,15.00000,25.00000,28.00000,15.00000,25.00000,28.00000,2790.00000,808.00000,176.00000,16.00000,4.00000,4.00000,38656.00000,941.00000
2025-10-18 04:35:52.761597,15.00000,25.00000,28.00000,15.00000,25.00000,28.00000,2790.00000,808.00000,176.00000,16.00000,4.00000,4.00000,38656.00000,941.00000
2025-10-18 04:35:53.548929,15.00000,25.00000,28.00000,15.00000,25.00000,28.00000,2790.00000,808.00000,176.00000,16.00000,4.00000,4.00000,38656.00000,941.00000
2025-10-18 04:35:54.408102,15.00000,24.00000,27.00000,15.00000,24.00000,27.00000,2802.00000,810.00000,174.00000,14.00000,4.00000,4.00000,38656.00000,947.00000
2025-10-18 04:35:55.293547,15.00000,24.00000,27.00000,15.00000,24.00000,27.00000,2802.00000,810.00000,174.00000,14.00000,4.00000,4.00000,38656.00000,947.00000
2025-10-18 04:35:56.091174,15.00000,24.00000,27.00000,15.00000,24.00000,27.00000,2802.00000,810.00000,174.00000,14.00000,4.00000,4.00000,38656.00000,947.00000
2025-10-18 04:35:56.956845,15.00000,24.00000,27.00000,15.00000,24.00000,27.00000,2916.00000,824.00000,172.00000,14.00000,4.00000,4.00000,38656.00000,818.00000
2025-10-18 04:35:57.918355,15.00000,24.00000,27.00000,15.00000,24.00000,27.00000,2916.00000,824.00000,172.00000,14.00000,4.00000,4.00000,38656.00000,818.00000
2025-10-18 04:35:58.690310,15.00000,24.00000,27.00000,15.00000,24.00000,27.00000,2916.00000,824.00000,172.00000,14.00000,4.00000,4.00000,38656.00000,818.00000
2025-10-18 04:35:59.588326,15.00000,24.00000,27.00000,15.00000,24.00000,27.00000,2886.00000,818.00000,168.00000,12.00000,4.00000,4.00000,38656.00000,776.00000
2025-10-18 04:36:00.490577,15.00000,24.00000,27.00000,15.00000,24.00000,27.00000,2886.00000,818.00000,168.00000,12.00000,4.00000,4.00000,38656.00000,776.00000
2025-10-18 04:36:01.269892,15.00000,24.00000,27.00000,15.00000,24.00000,27.00000,2886.00000,818.00000,168.00000,12.00000,4.00000,4.00000,38656.00000,776.00000
2025-10-18 04:36:02.122959,15.00000,24.00000,29.00000,15.00000,24.00000,29.00000,2952.00000,838.00000,174.00000,16.00000,6.00000,6.00000,38656.00000,880.00000
2025-10-18 04:36:03.107085,15.00000,24.00000,29.00000,15.00000,24.00000,29.00000,2952.00000,838.00000,174.00000,16.00000,6.00000,6.00000,38656.00000,880.00000
2025-10-18 04:36:03.848568,15.00000,24.00000,29.00000,15.00000,24.00000,29.00000,2952.00000,838.00000,174.00000,16.00000,6.00000,6.00000,38656.00000,880.00000
2025-10-18 04:36:04.741096,16.00000,25.00000,32.00000,16.00000,25.00000,32.00000,3024.00000,856.00000,186.00000,18.00000,8.00000,8.00000,38656.00000,998.00000
2025-10-18 04:36:05.677320,16.00000,25.00000,32.00000,16.00000,25.00000,32.00000,3024.00000,856.00000,186.00000,18.00000,8.00000,8.00000,38656.00000,998.00000
2025-10-18 04:36:06.492364,16.00000,25.00000,32.00000,16.00000,25.00000,32.00000,3024.00000,856.00000,186.00000,18.00000,8.00000,8.00000,38656.00000,998.00000
2025-10-18 04:36:07.387420,16.00000,26.00000,31.00000,16.00000,26.00000,31.00000,3090.00000,866.00000,194.00000,18.00000,6.00000,6.00000,38656.00000,823.00000
2025-10-18 04:36:08.206634,16.00000,26.00000,31.00000,16.00000,26.00000,31.00000,3090.00000,866.00000,194.00000,18.00000,6.00000,6.00000,38656.00000,823.00000
2025-10-18 04:36:09.055616,16.00000,26.00000,31.00000,16.00000,26.00000,31.00000,3090.00000,866.00000,194.00000,18.00000,6.00000,6.00000,38656.00000,823.00000
2025-10-18 04:36:09.873009,15.00000,25.00000,30.00000,15.00000,25.00000,30.00000,3012.00000,840.00000,182.00000,18.00000,6.00000,6.00000,38656.00000,956.00000
2025-10-18 04:36:10.842778,15.00000,25.00000,30.00000,15.00000,25.00000,30.00000,2904.00000,822.00000,186.00000,20.00000,6.00000,6.00000,38656.00000,836.00000
2025-10-18 04:36:11.784820,16.00000,27.00000,32.00000,16.00000,27.00000,32.00000,3012.00000,862.00000,192.00000,24.00000,6.00000,6.00000,38656.00000,1004.00000
2025-10-18 04:36:12.727425,16.00000,28.00000,31.00000,16.00000,28.00000,31.00000,3042.00000,874.00000,194.00000,24.00000,4.00000,4.00000,38656.00000,1044.00000
