datetime,no2,nh3,co,t,rh,p,deviceid,no2ppb,latitude,longitude,elevation,id,pm1,pm25,pm10
2025-08-27 07:19:08,1117.0909090909092,867.6072727272727,649.7745454545454,22.940517404215644,53.08258618214443,953.693110690186,10.0,10.058370590209961,,,,,16.0,23.0,27.0
2025-08-27 07:19:11,1118.9527272727273,865.7454545454545,651.6363636363637,22.94553677821532,53.07689464098093,953.75668307415,10.0,10.047670364379883,,,,,16.0,23.0,26.0
2025-08-27 07:19:14,1122.6763636363637,865.7454545454545,657.2218181818182,22.965614277124406,52.995836002609714,953.7889478313938,10.0,9.981891632080078,,,,,16.0,22.0,25.0
2025-08-27 07:19:17,1124.538181818182,865.7454545454545,662.8072727272728,22.970633652579274,52.97848448547767,953.7415050948205,10.0,9.95356273651123,,,,,15.0,21.0,24.0
2025-08-27 07:19:20,1131.9854545454546,869.4690909090909,673.978181818182,22.985691780690104,52.94974500551726,953.7101924496379,10.0,9.793432235717773,,,,,15.0,22.0,23.0
2025-08-27 07:19:23,1133.8472727272729,865.7454545454545,673.978181818182,23.00074991142028,52.92100321598098,953.734389012957,10.0,9.802833557128906,,,,,16.0,23.0,25.0
2025-08-27 07:19:26,1139.4327272727273,869.4690909090909,683.2872727272728,22.995730534219184,52.92086796695236,953.7263234595646,10.0,9.675658226013184,,,,,17.0,23.0,24.0
2025-08-27 07:19:29,1145.0181818181818,873.1927272727273,688.8727272727274,23.00074991142028,52.880194823978606,953.7621448264418,10.0,9.542943954467773,,,,,17.0,23.0,23.0
2025-08-27 07:19:32,1146.88,871.3309090909091,692.5963636363638,23.005769288912415,52.86866984203035,953.7424545986324,10.0,9.535337448120117,,,,,17.0,23.0,23.0
2025-08-27 07:19:35,1148.7418181818182,873.1927272727273,698.1818181818182,23.015808044769802,52.851448997536714,953.7030729407752,10.0,9.48526668548584,,,,,17.0,22.0,22.0
2025-08-27 07:19:38,1152.4654545454546,871.3309090909091,700.0436363636363,23.02584680179134,52.82256678839219,953.8024742156518,10.0,9.446975708007812,,,,,17.0,24.0,24.0
2025-08-27 07:19:41,1156.189090909091,876.9163636363637,707.4909090909091,23.02584680179134,52.78175490919187,953.7469603347931,10.0,9.33035945892334,,,,,16.0,25.0,26.0
2025-08-27 07:19:44,1161.7745454545457,876.9163636363637,713.0763636363637,23.040904939506436,52.7763252155771,953.7433993999896,10.0,9.248332023620605,,,,,16.0,26.0,27.0
2025-08-27 07:19:47,1163.6363636363637,878.7781818181818,716.8000000000001,23.035885559977032,52.77036123788812,953.7630914059714,10.0,9.200469017028809,,,,,15.0,25.0,26.0
2025-08-27 07:19:50,1169.2218181818182,878.7781818181818,724.2472727272728,23.04592431932688,52.7181524742386,953.7514647886403,10.0,9.117956161499023,,,,,16.0,26.0,26.0
2025-08-27 07:19:53,1171.0836363636365,878.7781818181818,724.2472727272728,23.04592431932688,52.72398314527232,953.7237069932437,10.0,9.100314140319824,,,,,16.0,25.0,25.0
2025-08-27 07:19:56,1172.9454545454546,878.7781818181818,727.9709090909091,23.050943699438356,52.70662382292234,953.7317721865481,10.0,9.083611488342285,,,,,15.0,25.0,25.0
2025-08-27 07:19:59,1176.669090909091,876.9163636363637,729.8327272727273,23.060982460534433,52.70105833589585,953.7479026699411,10.0,9.068836212158203,,,,,14.0,22.0,22.0
2025-08-27 07:20:02,1178.530909090909,876.9163636363637,733.5563636363636,23.07604060436133,52.67813170009911,953.7720986369632,10.0,9.050246238708496,,,,,14.0,22.0,22.0
2025-08-27 07:20:05,1185.9781818181818,880.6400000000001,741.0036363636364,23.07604060436133,52.68979395910916,953.7443394980843,10.0,8.99278736114502,,,,,13.0,19.0,19.0
2025-08-27 07:20:08,1187.84,880.6400000000001,744.7272727272727,23.07604060436133,52.67230055554841,953.7443394980843,10.0,8.986620903015137,,,,,14.0,20.0,20.0
2025-08-27 07:20:11,1191.5636363636363,882.5018181818182,750.3127272727273,23.09109875080758,52.65520323784773,953.7130154956666,10.0,8.959953308105469,,,,,13.0,19.0,19.0
2025-08-27 07:20:14,1193.4254545454546,882.5018181818182,750.3127272727273,23.09109875080758,52.631877652390756,953.7407752730043,10.0,8.953160285949707,,,,,13.0,17.0,17.0
2025-08-27 07:20:17,1195.2872727272727,882.5018181818182,755.8981818181818,23.111176283477107,52.62657301041059,953.7730355799089,10.0,8.94577693939209,,,,,15.0,19.0,19.0
2025-08-27 07:20:20,1199.010909090909,882.5018181818182,757.7600000000001,23.116195667372086,52.56255477628437,953.7533398218147,10.0,8.9327392578125,,,,,15.0,19.0,19.0
2025-08-27 07:20:23,1204.5963636363638,884.3636363636365,763.3454545454546,23.121215051558103,52.574349554148235,953.761404783758,10.0,8.90027904510498,,,,,15.0,19.0,20.0
